,Indicator,NFHS-5,NFHS-4
0,Female population age 6 years and above who ever attended school (%),63.6,62.0
1,Population below age 15 years (%),23.0,23.2
2,"Sex ratio of the total population (females per 1,000 males)",924,908
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",871,884
4,Children under age 5 years whose birth was registered with the civil authority (%),98.1,96.8
5,Deaths in the last 3 years registered with the civil authority (%),84.3,na
6,Population living in households with electricity (%),99.5,99.7
7,Population living in households with an improved drinking-water source (%),99.3,99.0
8,Population living in households that use an improved sanitation facility(%),85.4,76.0
9,Households using clean fuel for cooking (%),52.3,40.6
10,Households using iodized salt (%),97.3,96.1
11,Households with any usual member covered under a health insurance/financing scheme (%),18.4,22.6
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),10.0,na
13,Women who are literate (%),67.4,na
14,Women with 10 or more years of schooling (%),37.5,38.2
15,Women age 20-24 years married before age 18 years (%),11.5,13.3
16,Births in the 5 years preceding the survey that are third or higher order (%),2.4,1.3
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),2.7,3.2
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),88.0,74.0
19,Any method (%),67.6,78.3
20,Any modern method (%),57.2,70.2
21,Female sterilization (%),30.9,42.9
22,Male sterilization (%),1.0,0.5
23,IUD/PPIUD (%),7.3,7.6
24,Pill (%),2.2,3.6
25,Condom (%),15.7,15.4
26,Injectables (%),0.0,0.2
27,Total unmet need(%),7.2,4.9
28,Unmet need for spacing (%),2.8,1.2
29,Health worker ever talked to female non-users about family planning (%),19.0,33.7
30,Current users ever told about side effects of current method (%),66.7,59.8
31,Mothers who had an antenatal check-up in the first trimester (%),66.9,66.6
32,Mothers who had at least 4 antenatal care visits (%),49.4,65.9
33,Mothers whose last birth was protected against neonatal tetanus (%),89.9,86.0
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),48.8,32.0
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),31.6,9.5
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),94.9,93.3
37,days of delivery (%),84.3,88.8
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"2,903","1,553"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,*
40,days of delivery (%),83.2,na
41,Institutional births (%),88.8,91.3
42,Institutional births in public facility (%),63.8,60.4
43,Home births that were conducted by skilled health personnel (%),5.7,4.9
44,Births attended by skilled health personnel (%),93.5,96.2
45,Births delivered by caesarean section (%),30.3,19.1
46,Births in a private health facility that were delivered by caesarean section (%),45.1,29.6
47,Births in a public health facility that were delivered by caesarean section (%),29.8,16.4
48,mother's recall (%),79.1,91.9
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),88.8,96.1
50,Children age 12-23 months who have received BCG (%),97.7,97.1
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),85.3,95.3
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),93.2,93.6
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),89.3,95.4
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),34.0,na
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),55.5,na
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),89.9,86.9
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),68.5,70.6
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),94.4,94.9
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),3.3,5.2
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),2.9,6.7
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,*
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,*
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,*
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),5.8,7.2
65,health provider (%),(49.9),88.2
66,Children under age 3 years breastfed within one hour of birth (%),60.7,30.8
67,Children under age 6 months exclusively breastfed (%),(55.0),(56.9)
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,*
69,Breastfeeding children age 6-23 months receiving an adequate diet(%),9.9,4.1
70,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*
71,Total children age 6-23 months receiving an adequate diet(%),11.7,5.8
72,Children under 5 years who are stunted (height-for-age) (%),36.6,29.6
73,Children under 5 years who are wasted (weight-for-height) (%),12.1,16.1
74,Children under 5 years who are severely wasted (weight-for-height) (%),3.4,6.9
75,Children under 5 years who are underweight (weight-for-age) (%),22.7,24.9
76,Children under 5 years who are overweight (weight-for-height) (%),3.1,0.7
77,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),16.1,18.7
78,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),32.9,24.4
79,Women who have high risk waist-to-hip ratio (≥0.85) (%),65.1,na
80,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),78.2,52.4
81,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),60.2,49.8
82,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(68.2),(37.6)
83,All women age 15-49 years who are anaemic (%),60.4,49.4
84,All women age 15-19 years who are anaemic (%),63.5,60.2
85,Blood sugar level - high (141-160 mg/dl)(%),5.3,na
86,Blood sugar level - very high (>160 mg/dl)(%),5.7,na
87,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),11.6,na
88,Blood sugar level - high (141-160 mg/dl)(%),4.4,na
89,Blood sugar level - very high (>160 mg/dl) (%),5.8,na
90,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),10.9,na
91,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),17.1,na
92,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),9.6,na
93,blood pressure (%),30.2,na
94,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),25.9,na
95,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),14.8,na
96,blood pressure (%),42.2,na
97,Ever undergone a screening test for cervical cancer (%),3.4,na
98,Ever undergone a breast examination for breast cancer (%),0.3,na
99,Ever undergone an oral cavity examination for oral cancer (%),0.0,na
100,Women age 15 years and above who use any kind of tobacco (%),0.4,na
101,Men age 15 years and above who use any kind of tobacco (%),16.9,na
102,Women age 15 years and above who consume alcohol (%),0.3,na
103,Men age 15 years and above who consume alcohol (%),28.4,na
