,Indicator,NFHS_5,NFHS_4
1,Female population age 6 years and above who ever attended school (%),78.0,77.4
2,Population below age 15 years (%),22.9,26.3
3,"Sex ratio of the total population (females per 1,000 males)",921,916
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,037",772
5,Children under age 5 years whose birth was registered with the civil authority (%),99.6,97.5
6,Deaths in the last 3 years registered with the civil authority (%),90.7,na
7,Population living in households with electricity (%),99.9,99.4
8,Population living in households with an improved drinking-water source (%),99.6,100.0
9,Population living in households that use an improved sanitation facility(%),86.0,79.2
10,Households using clean fuel for cooking (%),82.9,72.8
11,Households using iodized salt (%),88.9,99.5
12,Households with any usual member covered under a health insurance/financing scheme (%),26.2,19.7
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),3.6,na
15,Women who are literate (%),80.2,na
16,Women with 10 or more years of schooling (%),56.7,53.1
18,Women age 20-24 years married before age 18 years (%),9.2,10.3
19,Births in the 5 years preceding the survey that are third or higher order (%),2.0,0.8
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),4.4,0.7
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),96.0,88.9
23,Any method (%),68.9,81.0
24,Any modern method (%),57.6,71.6
25,Female sterilization (%),26.2,36.9
26,Male sterilization (%),0.8,1.2
27,IUD/PPIUD (%),2.7,9.3
28,Pill (%),0.6,2.2
29,Condom (%),26.3,22.1
30,Injectables (%),0.0,0.0
32,Total unmet need(%),9.7,4.0
33,Unmet need for spacing (%),3.7,1.7
35,Health worker ever talked to female non-users about family planning (%),24.5,22.5
36,Current users ever told about side effects of current method (%),(81.7),87.8
39,Mothers who had an antenatal check-up in the first trimester (%),70.9,85.2
40,Mothers who had at least 4 antenatal care visits (%),56.5,76.1
41,Mothers whose last birth was protected against neonatal tetanus (%),85.9,98.5
42,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),45.1,43.9
43,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),27.3,13.2
44,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),98.6,97.4
46,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),90.1,88.3
47,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"3,822","1,949"
48,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,*
50,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),88.5,na
52,Institutional births (%),95.9,90.0
53,Institutional births in public facility (%),49.1,54.3
54,Home births that were conducted by skilled health personnel (%),2.9,3.5
55,Births attended by skilled health personnel (%),98.8,92.5
56,Births delivered by caesarean section (%),43.3,25.3
57,Births in a private health facility that were delivered by caesarean section (%),61.3,50.2
58,Births in a public health facility that were delivered by caesarean section (%),29.7,13.6
61,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),(65.8),91.9
62,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(74.3),91.4
63,Children age 12-23 months who have received BCG (%),(96.1),98.5
64,Children age 12-23 months who have received 3 doses of polio vaccine (%),(74.0),96.8
65,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(85.2),96.8
66,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(89.4),91.9
67,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(18.5),na
68,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(60.7),na
69,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(82.8),93.7
70,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),66.9,68.3
71,Children age 12-23 months who received most of their vaccinations in a public health facility (%),(93.2),86.0
72,Children age 12-23 months who received most of their vaccinations in a private health facility (%),(6.8),14.0
74,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),2.9,4.3
75,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,*
76,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,*
77,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,*
78,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),1.6,3.1
80,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,(89.4)
82,Children under age 3 years breastfed within one hour of birth (%),56.8,33.5
83,Children under age 6 months exclusively breastfed (%),(51.4),(62.0)
84,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,*
85,Breastfeeding children age 6-23 months receiving an adequate diet(%),(9.1),5.9
86,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*
87,Total children age 6-23 months receiving an adequate diet(%),8.2,6.4
88,Children under 5 years who are stunted (height-for-age) (%),19.4,22.4
89,Children under 5 years who are wasted (weight-for-height) (%),11.9,10.7
90,Children under 5 years who are severely wasted (weight-for-height) (%),6.3,3.5
91,Children under 5 years who are underweight (weight-for-age) (%),11.2,12.8
92,Children under 5 years who are overweight (weight-for-height) (%),6.3,3.4
94,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),9.6,11.0
95,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),42.3,30.3
96,Women who have high risk waist-to-hip ratio (≥0.85) (%),72.4,na
