,Indicator,NFHS_5,NFHS_4
1,Female population age 6 years and above who ever attended school (%),73.5,68.1
2,Population below age 15 years (%),27.3,28.0
3,"Sex ratio of the total population (females per 1,000 males)",999,920
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",919,853
5,Children under age 5 years whose birth was registered with the civil authority (%),93.6,96.1
6,Deaths in the last 3 years registered with the civil authority (%),87.1,na
7,Population living in households with electricity (%),96.0,86.7
8,Population living in households with an improved drinking-water source (%),89.9,92.8
9,Population living in households that use an improved sanitation facility(%),58.9,29.8
10,Households using clean fuel for cooking (%),65.1,41.0
11,Households using iodized salt (%),98.0,96.9
12,Households with any usual member covered under a health insurance/financing scheme (%),19.8,22.7
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),36.6,na
15,Women who are literate (%),68.8,na
16,Women with 10 or more years of schooling (%),40.8,29.6
18,Women age 20-24 years married before age 18 years (%),40.5,34.0
19,Births in the 5 years preceding the survey that are third or higher order (%),2.5,1.4
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),15.0,12.4
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),60.7,56.1
23,Any method (%),51.9,63.8
24,Any modern method (%),50.3,62.1
25,Female sterilization (%),41.2,53.9
26,Male sterilization (%),0.3,0.7
27,IUD/PPIUD (%),1.0,1.4
28,Pill (%),1.1,1.7
29,Condom (%),6.7,4.2
30,Injectables (%),0.0,0.2
32,Total unmet need(%),13.1,8.5
33,Unmet need for spacing (%),5.0,4.8
35,Health worker ever talked to female non-users about family planning (%),19.1,29.1
36,Current users ever told about side effects of current method (%),48.4,42.5
39,Mothers who had an antenatal check-up in the first trimester (%),61.2,55.8
40,Mothers who had at least 4 antenatal care visits (%),63.2,62.5
41,Mothers whose last birth was protected against neonatal tetanus (%),80.5,85.4
42,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),30.7,15.7
43,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),16.5,6.3
44,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),93.7,92.9
46,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),77.2,70.1
