,Indicator,NFHS_5,NFHS_4
1,Female population age 6 years and above who ever attended school (%),78.5,76.7
2,Population below age 15 years (%),20.6,22.7
3,"Sex ratio of the total population (females per 1,000 males)","1,049","1,034"
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",958,"1,019"
5,Children under age 5 years whose birth was registered with the civil authority (%),96.9,97.5
6,Deaths in the last 3 years registered with the civil authority (%),87.1,na
7,Population living in households with electricity (%),97.9,95.1
8,Population living in households with an improved drinking-water source (%),95.6,93.1
9,Population living in households that use an improved sanitation facility(%),78.7,64.3
10,Households using clean fuel for cooking (%),82.1,57.0
11,Households using iodized salt (%),93.9,93.3
12,Households with any usual member covered under a health insurance/financing scheme (%),11.4,8.9
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),(27.2),na
15,Women who are literate (%),87.2,na
16,Women with 10 or more years of schooling (%),48.3,38.9
18,Women age 20-24 years married before age 18 years (%),18.1,22.7
19,Births in the 5 years preceding the survey that are third or higher order (%),1.3,0.0
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),7.7,5.1
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),87.2,66.5
23,Any method (%),74.7,62.5
24,Any modern method (%),72.8,62.3
25,Female sterilization (%),61.8,56.9
26,Male sterilization (%),0.1,0.4
27,IUD/PPIUD (%),2.4,1.3
28,Pill (%),1.0,1.0
29,Condom (%),7.4,2.7
30,Injectables (%),0.2,0.0
32,Total unmet need(%),6.2,12.0
33,Unmet need for spacing (%),3.0,7.1
35,Health worker ever talked to female non-users about family planning (%),26.8,11.7
36,Current users ever told about side effects of current method (%),68.1,26.8
39,Mothers who had an antenatal check-up in the first trimester (%),77.5,70.1
40,Mothers who had at least 4 antenatal care visits (%),81.7,68.9
41,Mothers whose last birth was protected against neonatal tetanus (%),93.8,91.2
42,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),59.5,33.7
43,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),39.7,28.4
44,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),96.7,83.9
46,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),94.5,75.3
47,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"2,607","1,867"
48,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,*
50,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),95.1,na
52,Institutional births (%),97.1,96.3
53,Institutional births in public facility (%),43.8,31.4
54,Home births that were conducted by skilled health personnel (%),2.0,1.6
55,Births attended by skilled health personnel (%),97.9,90.0
56,Births delivered by caesarean section (%),36.2,29.0
57,Births in a private health facility that were delivered by caesarean section (%),53.0,40.2
58,Births in a public health facility that were delivered by caesarean section (%),18.1,9.4
61,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),(82.8),59.2
62,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(76.3),(66.1)
63,Children age 12-23 months who have received BCG (%),(96.2),89.8
64,Children age 12-23 months who have received 3 doses of polio vaccine (%),(87.5),89.0
65,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(93.8),70.9
66,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(91.7),83.8
67,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(38.8),na
68,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(6.7),na
69,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(84.9),71.6
70,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),78.3,67.0
71,Children age 12-23 months who received most of their vaccinations in a public health facility (%),(97.3),(90.3)
72,Children age 12-23 months who received most of their vaccinations in a private health facility (%),(2.7),(9.7)
74,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),10.4,15.7
75,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),(72.4),(49.8)
