,Indicator,NFHS_5,NFHS_4
1,Female population age 6 years and above who ever attended school (%),67.9,63.7
2,Population below age 15 years (%),27.8,30.1
3,"Sex ratio of the total population (females per 1,000 males)","1,038",995
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",951,961
5,Children under age 5 years whose birth was registered with the civil authority (%),97.0,78.4
6,Deaths in the last 3 years registered with the civil authority (%),79.4,na
7,Population living in households with electricity (%),98.2,84.1
8,Population living in households with an improved drinking-water source (%),88.8,82.2
9,Population living in households that use an improved sanitation facility(%),72.8,16.4
10,Households using clean fuel for cooking (%),14.8,7.6
11,Households using iodized salt (%),98.8,99.3
12,Households with any usual member covered under a health insurance/financing scheme (%),80.6,78.1
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),6.0,na
15,Women who are literate (%),73.1,na
16,Women with 10 or more years of schooling (%),34.9,23.2
18,Women age 20-24 years married before age 18 years (%),21.9,31.8
19,Births in the 5 years preceding the survey that are third or higher order (%),1.8,3.1
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),5.5,5.5
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),68.2,40.5
23,Any method (%),56.0,50.1
24,Any modern method (%),47.2,45.2
25,Female sterilization (%),33.8,37.1
26,Male sterilization (%),0.1,0.7
27,IUD/PPIUD (%),6.6,2.4
28,Pill (%),1.5,1.3
29,Condom (%),2.4,3.8
30,Injectables (%),0.3,0.0
32,Total unmet need(%),12.9,15.4
33,Unmet need for spacing (%),5.1,7.0
35,Health worker ever talked to female non-users about family planning (%),39.6,21.2
36,Current users ever told about side effects of current method (%),94.1,34.2
38,Mothers who had an antenatal check-up in the first trimester (%),56.4,59.0
39,Mothers who had at least 4 antenatal care visits (%),48.6,34.6
40,Mothers whose last birth was protected against neonatal tetanus (%),91.1,93.4
41,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),50.5,25.6
42,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),32.0,10.9
43,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),97.1,85.2
45,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),82.7,41.7
46,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"1,635",932
47,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),(7.6),1.0
49,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),80.7,na
51,Institutional births (%),85.6,60.8
52,Institutional births in public facility (%),66.2,47.3
53,Home births that were conducted by skilled health personnel (%),1.7,6.8
54,Births attended by skilled health personnel (%),78.6,66.6
55,Births delivered by caesarean section (%),13.4,7.3
56,Births in a private health facility that were delivered by caesarean section (%),44.0,43.8
57,Births in a public health facility that were delivered by caesarean section (%),7.4,3.0
60,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),94.2,50.4
61,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),94.1,(47.0)
62,Children age 12-23 months who have received BCG (%),95.5,95.2
63,Children age 12-23 months who have received 3 doses of polio vaccine (%),95.5,64.7
64,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),95.5,79.3
65,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),96.9,82.6
66,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),28.0,na
67,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),76.9,na
68,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),95.5,61.8
69,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),90.2,68.8
70,Children age 12-23 months who received most of their vaccinations in a public health facility (%),100.0,98.3
71,Children age 12-23 months who received most of their vaccinations in a private health facility (%),0.0,1.7
73,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),1.3,7.1
74,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,(51.6)
75,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,(12.1)
76,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,(64.8)
77,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),0.0,5.7
79,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,57.3
