,Indicator,NFHS-5,NFHS-4
0,Female population age 6 years and above who ever attended school (%),72.3,69.3
1,Population below age 15 years (%),21.2,20.8
2,"Sex ratio of the total population (females per 1,000 males)","1,085","1,003"
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,133",926
4,Children under age 5 years whose birth was registered with the civil authority (%),98.7,98.0
5,Deaths in the last 3 years registered with the civil authority (%),92.8,na
6,Population living in households with electricity (%),99.6,98.5
7,Population living in households with an improved drinking-water source (%),96.2,98.8
8,Population living in households that use an improved sanitation facility(%),86.1,52.6
9,Households using clean fuel for cooking (%),85.3,39.4
10,Households using iodized salt (%),94.7,85.5
11,Households with any usual member covered under a health insurance/financing scheme (%),31.0,36.5
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),(2.0),na
13,Women who are literate (%),81.9,na
14,Women with 10 or more years of schooling (%),58.9,44.3
15,Women age 20-24 years married before age 18 years (%),24.8,17.1
16,Births in the 5 years preceding the survey that are third or higher order (%),0.0,0.0
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),4.7,5.2
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),94.5,77.0
19,Any method (%),77.0,62.7
20,Any modern method (%),75.8,62.3
21,Female sterilization (%),60.9,59.8
22,Male sterilization (%),0.0,0.0
23,IUD/PPIUD (%),5.1,1.4
24,Pill (%),2.4,0.5
25,Condom (%),4.4,0.7
26,Injectables (%),0.6,0.0
27,Total unmet need(%),5.3,10.7
28,Unmet need for spacing (%),4.4,6.6
29,Health worker ever talked to female non-users about family planning (%),59.4,18.0
30,Current users ever told about side effects of current method (%),76.1,48.4
31,Mothers who had an antenatal check-up in the first trimester (%),68.6,59.7
32,Mothers who had at least 4 antenatal care visits (%),80.4,70.6
33,Mothers whose last birth was protected against neonatal tetanus (%),92.7,92.8
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),61.8,55.1
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),27.9,40.5
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),99.3,97.4
37,days of delivery (%),95.2,57.3
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"4,533","6,011"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,*
40,days of delivery (%),90.2,na
41,Institutional births (%),100.0,96.4
42,Institutional births in public facility (%),66.9,61.6
43,Home births that were conducted by skilled health personnel (%),0.0,3.1
44,Births attended by skilled health personnel (%),93.1,99.0
45,Births delivered by caesarean section (%),52.1,33.4
46,Births in a private health facility that were delivered by caesarean section (%),64.8,54.1
47,Births in a public health facility that were delivered by caesarean section (%),45.8,23.6
48,mother's recall (%),(97.7),(64.8)
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(93.5),(74.1)
50,Children age 12-23 months who have received BCG (%),(100.0),(95.1)
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),(100.0),(72.7)
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(100.0),(79.7)
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(97.7),(79.5)
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(42.8),na
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(2.7),na
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(97.4),(60.9)
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),96.8,77.7
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),(100.0),(97.4)
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),(0.0),(2.7)
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),4.5,3.7
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,*
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,*
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,*
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),1.6,0.6
65,health provider (%),*,*
66,Children under age 3 years breastfed within one hour of birth (%),33.0,58.6
67,Children under age 6 months exclusively breastfed (%),*,*
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,*
69,Breastfeeding children age 6-23 months receiving an adequate diet  (%),12.2,(7.6)
70,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*
71,Total children age 6-23 months receiving an adequate diet  (%),15.5,5.0
72,Children under 5 years who are stunted (height-for-age) (%),40.3,28.6
73,Children under 5 years who are wasted (weight-for-height) (%),10.9,26.2
74,Children under 5 years who are severely wasted (weight-for-height) (%),3.1,10.2
75,Children under 5 years who are underweight (weight-for-age) (%),26.7,26.0
76,Children under 5 years who are overweight (weight-for-height) (%),6.1,3.2
77,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),15.2,20.3
78,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),30.4,22.3
79,Women who have high risk waist-to-hip ratio (≥0.85) (%),48.1,na
80,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),67.6,53.8
81,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),48.9,52.0
82,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),*,(72.2)
83,All women age 15-49 years who are anaemic (%),49.3,52.7
84,All women age 15-19 years who are anaemic (%),47.9,48.9
85,Blood sugar level - high (141-160 mg/dl)(%),5.6,na
86,Blood sugar level - very high (>160 mg/dl)(%),8.1,na
87,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),15.4,na
88,Blood sugar level - high (141-160 mg/dl)(%),7.4,na
89,Blood sugar level - very high (>160 mg/dl) (%),11.0,na
90,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),19.9,na
91,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),16.3,na
92,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),6.5,na
93,control blood pressure (%),27.4,na
94,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),22.3,na
95,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),9.4,na
96,control blood pressure (%),34.0,na
97,Ever undergone a screening test for cervical cancer (%),0.5,na
98,Ever undergone a breast examination for breast cancer (%),0.2,na
99,Ever undergone an oral cavity examination for oral cancer (%),0.2,na
100,Women age 15 years and above who use any kind of tobacco (%),9.8,na
101,Men age 15 years and above who use any kind of tobacco (%),26.7,na
102,Women age 15 years and above who consume alcohol (%),0.8,na
103,Men age 15 years and above who consume alcohol (%),18.8,na
