,Indicator,NFHS_5,NFHS_4
1,Female population age 6 years and above who ever attended school (%),72.4,69.8
2,Population below age 15 years (%),25.0,26.5
3,"Sex ratio of the total population (females per 1,000 males)","1,032",960
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",892,967
5,Children under age 5 years whose birth was registered with the civil authority (%),96.6,99.1
6,Deaths in the last 3 years registered with the civil authority (%),90.4,na
7,Population living in households with electricity (%),99.1,98.7
8,Population living in households with an improved drinking-water source (%),94.4,99.0
9,Population living in households that use an improved sanitation facility(%),67.7,44.0
10,Households using clean fuel for cooking (%),74.8,47.1
11,Households using iodized salt (%),95.2,96.3
12,Households with any usual member covered under a health insurance/financing scheme (%),20.7,16.9
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),21.6,na
15,Women who are literate (%),74.0,na
16,Women with 10 or more years of schooling (%),47.8,39.4
18,Women age 20-24 years married before age 18 years (%),32.8,35.7
19,Births in the 5 years preceding the survey that are third or higher order (%),2.5,3.3
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),9.1,9.5
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),75.3,69.8
23,Any method (%),70.8,60.0
24,Any modern method (%),70.6,58.6
25,Female sterilization (%),63.3,56.7
26,Male sterilization (%),0.0,0.1
27,IUD/PPIUD (%),1.9,0.6
28,Pill (%),2.2,0.4
29,Condom (%),1.9,0.8
30,Injectables (%),0.2,0.0
32,Total unmet need(%),5.5,10.3
33,Unmet need for spacing (%),2.1,6.1
35,Health worker ever talked to female non-users about family planning (%),29.4,46.6
36,Current users ever told about side effects of current method (%),66.4,81.1
38,Mothers who had an antenatal check-up in the first trimester (%),71.2,78.8
39,Mothers who had at least 4 antenatal care visits (%),63.7,78.5
40,Mothers whose last birth was protected against neonatal tetanus (%),94.4,96.8
41,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),36.9,62.0
42,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),16.9,46.3
43,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),96.1,96.0
45,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),87.0,90.3
46,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"3,902","4,521"
47,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,*
49,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),85.6,na
51,Institutional births (%),97.5,97.1
52,Institutional births in public facility (%),60.6,68.1
53,Home births that were conducted by skilled health personnel (%),0.8,1.8
54,Births attended by skilled health personnel (%),96.4,98.9
55,Births delivered by caesarean section (%),24.2,16.4
56,Births in a private health facility that were delivered by caesarean section (%),39.7,38.3
57,Births in a public health facility that were delivered by caesarean section (%),15.8,7.7
60,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),81.4,63.4
61,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),86.5,(77.6)
62,Children age 12-23 months who have received BCG (%),97.2,100.0
63,Children age 12-23 months who have received 3 doses of polio vaccine (%),87.0,80.3
64,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),91.6,84.8
65,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),91.8,84.3
66,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),27.7,na
67,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),7.3,na
68,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),90.0,67.2
69,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),91.9,91.6
70,Children age 12-23 months who received most of their vaccinations in a public health facility (%),92.8,91.0
71,Children age 12-23 months who received most of their vaccinations in a private health facility (%),4.7,4.7
73,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),4.7,3.5
74,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,*
75,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,*
76,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,*
77,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),1.1,0.7
79,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),66.6,(92.9)
81,Children under age 3 years breastfed within one hour of birth (%),58.0,70.7
82,Children under age 6 months exclusively breastfed (%),(60.6),*
83,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,*
84,Breastfeeding children age 6-23 months receiving an adequate diet  (%),8.3,3.4
85,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*
86,Total children age 6-23 months receiving an adequate diet  (%),8.8,2.8
87,Children under 5 years who are stunted (height-for-age) (%),32.8,36.7
88,Children under 5 years who are wasted (weight-for-height) (%),23.6,31.7
89,Children under 5 years who are severely wasted (weight-for-height) (%),10.2,16.0
90,Children under 5 years who are underweight (weight-for-age) (%),36.9,38.5
91,Children under 5 years who are overweight (weight-for-height) (%),2.9,2.4
93,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),22.2,20.6
94,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),23.8,20.7
95,Women who have high risk waist-to-hip ratio (≥0.85) (%),44.1,na
97,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),72.7,66.3
98,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),53.4,41.1
99,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(40.0),(43.9)
100,All women age 15-49 years who are anaemic (%),52.9,41.2
101,All women age 15-19 years who are anaemic (%),48.5,46.1
104,Women - Blood sugar level - high (141-160 mg/dl)(%),4.8,na
105,Women - Blood sugar level - very high (>160 mg/dl)(%),6.6,na
106,Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),12.9,na
108,Men - Blood sugar level - high (141-160 mg/dl)(%),5.1,na
109,Men - Blood sugar level - very high (>160 mg/dl) (%),5.9,na
110,Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),12.2,na
113,Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),11.6,na
114,Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),4.3,na
116,Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),19.4,na
118,Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),14.7,na
119,Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),4.9,na
121,Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),22.2,na
123,Ever undergone a screening test for cervical cancer (%),0.5,na
124,Ever undergone a breast examination for breast cancer (%),0.6,na
125,Ever undergone an oral cavity examination for oral cancer (%),0.8,na
127,Women age 15 years and above who use any kind of tobacco (%),6.6,na
128,Men age 15 years and above who use any kind of tobacco (%),28.8,na
129,Women age 15 years and above who consume alcohol (%),0.5,na
130,Men age 15 years and above who consume alcohol (%),11.5,na
