,Indicator,NFHS_5,NFHS_4
1,Female population age 6 years and above who ever attended school (%),82.0,80.1
2,Population below age 15 years (%),19.5,19.8
3,"Sex ratio of the total population (females per 1,000 males)","1,148","1,137"
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,093",794
5,Children under age 5 years whose birth was registered with the civil authority (%),98.5,95.8
6,Deaths in the last 3 years registered with the civil authority (%),85.4,na
7,Population living in households with electricity (%),99.6,98.7
8,Population living in households with an improved drinking-water source (%),81.5,65.3
9,Population living in households that use an improved sanitation facility(%),94.5,89.8
10,Households using clean fuel for cooking (%),67.8,44.7
11,Households using iodized salt (%),95.6,85.5
12,Households with any usual member covered under a health insurance/financing scheme (%),50.9,45.4
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),3.2,na
15,Women who are literate (%),90.3,na
16,Women with 10 or more years of schooling (%),55.4,51.5
18,Women age 20-24 years married before age 18 years (%),4.4,6.3
19,Births in the 5 years preceding the survey that are third or higher order (%),0.0,0.0
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),0.7,1.8
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),95.5,89.0
23,Any method (%),72.0,32.4
24,Any modern method (%),71.3,31.6
25,Female sterilization (%),46.1,27.0
26,Male sterilization (%),0.0,0.0
27,IUD/PPIUD (%),6.4,1.7
28,Pill (%),5.4,0.4
29,Condom (%),8.9,2.4
30,Injectables (%),1.2,0.2
32,Total unmet need(%),7.1,16.1
33,Unmet need for spacing (%),4.7,10.0
35,Health worker ever talked to female non-users about family planning (%),42.3,24.7
36,Current users ever told about side effects of current method (%),84.5,(43.6)
38,Mothers who had an antenatal check-up in the first trimester (%),75.1,73.7
39,Mothers who had at least 4 antenatal care visits (%),59.4,84.2
40,Mothers whose last birth was protected against neonatal tetanus (%),94.8,91.0
41,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),51.3,39.1
42,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),34.2,28.8
43,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),99.2,87.3
45,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),89.2,66.0
46,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"2,886","(4,405)"
47,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,*
49,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),87.7,na
51,Institutional births (%),98.9,97.9
52,Institutional births in public facility (%),37.6,32.8
53,Home births that were conducted by skilled health personnel (%),0.4,0.5
54,Births attended by skilled health personnel (%),90.2,96.5
55,Births delivered by caesarean section (%),51.9,47.2
56,Births in a private health facility that were delivered by caesarean section (%),60.8,58.0
57,Births in a public health facility that were delivered by caesarean section (%),39.1,28.9
60,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),89.9,(64.6)
61,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(87.8),*
62,Children age 12-23 months who have received BCG (%),100.0,(97.6)
63,Children age 12-23 months who have received 3 doses of polio vaccine (%),94.3,(74.8)
64,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),94.0,(77.2)
65,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),96.2,(88.1)
66,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),38.1,na
67,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),2.0,na
68,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),94.0,(56.9)
69,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),88.1,82.8
70,Children age 12-23 months who received most of their vaccinations in a public health facility (%),90.5,(63.5)
71,Children age 12-23 months who received most of their vaccinations in a private health facility (%),7.6,(36.5)
73,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),3.5,5.1
74,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,*
75,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,*
76,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,*
77,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),1.9,5.3
79,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),(49.4),(83.3)
81,Children under age 3 years breastfed within one hour of birth (%),44.2,48.3
82,Children under age 6 months exclusively breastfed (%),(74.5),*
83,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,*
84,Breastfeeding children age 6-23 months receiving an adequate diet  (%),11.4,(15.7)
85,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*
86,Total children age 6-23 months receiving an adequate diet  (%),10.3,18.8
87,Children under 5 years who are stunted (height-for-age) (%),23.1,21.1
88,Children under 5 years who are wasted (weight-for-height) (%),17.6,20.9
89,Children under 5 years who are severely wasted (weight-for-height) (%),6.0,4.0
90,Children under 5 years who are underweight (weight-for-age) (%),21.0,22.3
91,Children under 5 years who are overweight (weight-for-height) (%),3.2,1.2
93,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),23.8,27.6
94,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),22.9,20.7
95,Women who have high risk waist-to-hip ratio (≥0.85) (%),51.9,na
97,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),58.3,56.2
98,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),47.2,45.2
99,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(48.4),*
