,Indicator,NFHS-5,NFHS-4
0,Female population age 6 years and above who ever attended school (%),63.9,63.8
1,Population below age 15 years (%),28.8,29.5
2,"Sex ratio of the total population (females per 1,000 males)",994,980
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",952,997
4,Children under age 5 years whose birth was registered with the civil authority (%),95.1,92.3
5,Deaths in the last 3 years registered with the civil authority (%),78.0,na
6,Population living in households with electricity (%),99.2,98.3
7,Population living in households with an improved drinking-water source (%),96.0,97.2
8,Population living in households that use an improved sanitation facility(%),58.8,46.9
9,Households using clean fuel for cooking (%),47.4,33.6
10,Households using iodized salt (%),47.9,84.1
11,Households with any usual member covered under a health insurance/financing scheme (%),20.6,34.9
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),29.6,na
13,Women who are literate (%),59.8,na
14,Women with 10 or more years of schooling (%),34.4,28.1
15,Women age 20-24 years married before age 18 years (%),27.1,35.9
16,Births in the 5 years preceding the survey that are third or higher order (%),2.1,2.2
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),8.5,9.7
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),67.8,49.0
19,Any method (%),63.4,44.5
20,Any modern method (%),63.2,44.5
21,Female sterilization (%),58.4,44.3
22,Male sterilization (%),0.0,0.0
23,IUD/PPIUD (%),1.9,0.0
24,Pill (%),0.7,0.1
25,Condom (%),1.2,0.0
26,Injectables (%),0.7,0.0
27,Total unmet need(%),9.7,10.4
28,Unmet need for spacing (%),6.0,7.7
29,Health worker ever talked to female non-users about family planning (%),15.6,17.4
30,Current users ever told about side effects of current method (%),59.0,43.5
31,Mothers who had an antenatal check-up in the first trimester (%),52.4,62.8
32,Mothers who had at least 4 antenatal care visits (%),50.7,60.5
33,Mothers whose last birth was protected against neonatal tetanus (%),84.5,87.3
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),15.8,23.8
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),8.0,18.3
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),100.0,97.2
37,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),80.7,54.3
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"4,909","2,345"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,(5.5)
40,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),79.5,na
41,Institutional births (%),90.7,84.8
42,Institutional births in public facility (%),68.2,72.6
43,Home births that were conducted by skilled health personnel (%),3.2,9.9
44,Births attended by skilled health personnel (%),89.2,91.1
45,Births delivered by caesarean section (%),19.1,10.0
46,Births in a private health facility that were delivered by caesarean section (%),44.0,(47.9)
47,Births in a public health facility that were delivered by caesarean section (%),13.5,5.7
48,Children age 12-23 months fully vaccinated based on information from either vaccination card or  mother's recall (%),84.8,72.8
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),93.4,66.1
50,Children age 12-23 months who have received BCG (%),97.3,97.1
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),84.8,82.9
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),94.2,87.0
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),90.3,91.3
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),19.3,na
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),0.0,na
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),94.2,64.0
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),70.9,89.6
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),98.6,98.6
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),1.4,1.4
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),7.0,4.3
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),(55.9),*
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),(22.9),*
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),(52.4),*
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),0.0,0.4
65,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),(58.4),*
66,Children under age 3 years breastfed within one hour of birth (%),49.2,68.0
67,Children under age 6 months exclusively breastfed (%),(77.3),*
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,*
69,Breastfeeding children age 6-23 months receiving an adequate diet  (%),8.4,1.9
70,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),(22.2),*
71,Total children age 6-23 months receiving an adequate diet  (%),12.2,6.3
72,Children under 5 years who are stunted (height-for-age) (%),49.1,55.8
73,Children under 5 years who are wasted (weight-for-height) (%),23.1,26.4
74,Children under 5 years who are severely wasted (weight-for-height) (%),3.8,10.8
75,Children under 5 years who are underweight (weight-for-age) (%),45.8,49.9
76,Children under 5 years who are overweight (weight-for-height) (%),0.8,5.8
