,Indicator,NFHS-5,NFHS-4
0,Female population age 6 years and above who ever attended school (%),74.3,70.8
1,Population below age 15 years (%),20.5,23.0
2,"Sex ratio of the total population (females per 1,000 males)",986,994
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,177","1,313"
4,Children under age 5 years whose birth was registered with the civil authority (%),99.0,97.9
5,Deaths in the last 3 years registered with the civil authority (%),94.5,na
6,Population living in households with electricity (%),99.2,98.8
7,Population living in households with an improved drinking-water source (%),97.9,99.6
8,Population living in households that use an improved sanitation facility(%),88.8,77.7
9,Households using clean fuel for cooking (%),93.6,64.5
10,Households using iodized salt (%),95.6,83.0
11,Households with any usual member covered under a health insurance/financing scheme (%),34.9,38.6
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),16.4,na
13,Women who are literate (%),83.8,na
14,Women with 10 or more years of schooling (%),56.3,49.6
15,Women age 20-24 years married before age 18 years (%),14.1,21.0
16,Births in the 5 years preceding the survey that are third or higher order (%),0.4,0.4
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),6.4,12.0
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),97.6,83.9
19,Any method (%),77.5,58.2
20,Any modern method (%),76.3,57.9
21,Female sterilization (%),65.7,56.1
22,Male sterilization (%),0.1,0.0
23,IUD/PPIUD (%),3.2,0.9
24,Pill (%),1.7,0.0
25,Condom (%),3.5,0.9
26,Injectables (%),0.8,0.0
27,Total unmet need(%),5.9,11.2
28,Unmet need for spacing (%),4.1,7.6
29,Health worker ever talked to female non-users about family planning (%),46.6,18.8
30,Current users ever told about side effects of current method (%),85.8,27.7
31,Mothers who had an antenatal check-up in the first trimester (%),81.8,71.1
32,Mothers who had at least 4 antenatal care visits (%),90.9,75.6
33,Mothers whose last birth was protected against neonatal tetanus (%),100.0,87.6
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),67.0,46.5
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),39.8,38.2
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),98.4,95.6
37,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),91.7,62.0
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"4,836","5,600"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,*
40,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),91.0,na
41,Institutional births (%),100.0,98.5
42,Institutional births in public facility (%),72.0,63.0
43,Home births that were conducted by skilled health personnel (%),0.0,1.1
44,Births attended by skilled health personnel (%),97.9,99.6
45,Births delivered by caesarean section (%),43.6,30.5
46,Births in a private health facility that were delivered by caesarean section (%),60.5,45.0
47,Births in a public health facility that were delivered by caesarean section (%),37.0,23.0
48,Children age 12-23 months fully vaccinated based on information from either vaccination card or  mother's recall (%),92.7,(64.1)
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(92.5),(77.6)
50,Children age 12-23 months who have received BCG (%),100.0,(100.0)
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),94.3,(77.7)
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),98.4,(85.5)
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),100.0,(83.1)
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),27.1,na
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),4.3,na
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),94.6,(66.5)
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),84.9,90.8
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),100.0,(89.4)
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),0.0,(10.6)
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),3.2,4.2
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,*
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,*
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,*
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),0.4,2.5
65,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,*
66,Children under age 3 years breastfed within one hour of birth (%),59.8,54.0
67,Children under age 6 months exclusively breastfed (%),*,(65.5)
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,*
69,Breastfeeding children age 6-23 months receiving an adequate diet  (%),15.7,(2.1)
70,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,(20.8)
71,Total children age 6-23 months receiving an adequate diet  (%),17.6,8.4
72,Children under 5 years who are stunted (height-for-age) (%),36.6,28.7
73,Children under 5 years who are wasted (weight-for-height) (%),16.2,22.8
74,Children under 5 years who are severely wasted (weight-for-height) (%),9.4,6.7
75,Children under 5 years who are underweight (weight-for-age) (%),23.8,26.5
76,Children under 5 years who are overweight (weight-for-height) (%),6.0,3.8
77,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),14.1,21.3
