,Indicator,NFHS_5,NFHS_4
1,Female population age 6 years and above who ever attended school (%),70.5,68.3
2,Population below age 15 years (%),27.9,31.1
3,"Sex ratio of the total population (females per 1,000 males)",957,941
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,022",948
5,Children under age 5 years whose birth was registered with the civil authority (%),92.3,70.8
6,Deaths in the last 3 years registered with the civil authority (%),76.4,na
7,Population living in households with electricity (%),99.6,96.9
8,Population living in households with an improved drinking-water source (%),99.9,98.4
9,Population living in households that use an improved sanitation facility(%),70.9,60.0
10,Households using clean fuel for cooking (%),64.0,52.6
11,Households using iodized salt (%),95.9,96.3
12,Households with any usual member covered under a health insurance/financing scheme (%),59.0,10.3
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),31.4,na
15,Women who are literate (%),70.4,na
16,Women with 10 or more years of schooling (%),41.1,36.0
18,Women age 20-24 years married before age 18 years (%),14.6,18.8
19,Births in the 5 years preceding the survey that are third or higher order (%),2.1,3.0
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),5.2,4.3
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),93.6,61.3
23,Any method (%),67.2,38.0
24,Any modern method (%),51.9,35.1
25,Female sterilization (%),19.6,13.6
26,Male sterilization (%),0.2,0.0
27,IUD/PPIUD (%),1.1,1.3
28,Pill (%),1.7,2.7
29,Condom (%),28.4,17.3
30,Injectables (%),0.0,0.1
32,Total unmet need(%),7.2,19.1
33,Unmet need for spacing (%),2.1,7.3
35,Health worker ever talked to female non-users about family planning (%),22.8,13.7
36,Current users ever told about side effects of current method (%),(68.3),41.8
39,Mothers who had an antenatal check-up in the first trimester (%),77.3,46.4
40,Mothers who had at least 4 antenatal care visits (%),75.9,26.6
41,Mothers whose last birth was protected against neonatal tetanus (%),96.9,86.9
42,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),45.7,16.6
43,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),23.2,7.7
44,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),98.5,89.2
46,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),82.0,46.4
47,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"1,906","3,119"
48,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),(2.1),1.1
50,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),80.8,na
52,Institutional births (%),85.1,67.5
53,Institutional births in public facility (%),51.0,39.6
54,Home births that were conducted by skilled health personnel (%),3.6,8.8
55,Births attended by skilled health personnel (%),81.6,72.2
56,Births delivered by caesarean section (%),20.4,14.2
57,Births in a private health facility that were delivered by caesarean section (%),49.4,39.6
58,Births in a public health facility that were delivered by caesarean section (%),6.9,8.0
61,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),83.2,47.0
62,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),92.2,68.4
