,Indicator,NFHS_5,NFHS_4
1,Female population age 6 years and above who ever attended school (%),81.0,78.5
2,Population below age 15 years (%),19.9,22.7
3,"Sex ratio of the total population (females per 1,000 males)","1,082","1,055"
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,025",904
5,Children under age 5 years whose birth was registered with the civil authority (%),98.2,96.5
6,Deaths in the last 3 years registered with the civil authority (%),83.2,na
7,Population living in households with electricity (%),98.4,95.5
8,Population living in households with an improved drinking-water source (%),98.1,100.0
9,Population living in households that use an improved sanitation facility(%),76.2,58.1
10,Households using clean fuel for cooking (%),54.6,30.8
11,Households using iodized salt (%),90.5,98.8
12,Households with any usual member covered under a health insurance/financing scheme (%),26.5,39.1
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),15.1,na
15,Women who are literate (%),77.4,na
16,Women with 10 or more years of schooling (%),37.0,26.2
18,Women age 20-24 years married before age 18 years (%),40.8,31.9
19,Births in the 5 years preceding the survey that are third or higher order (%),0.0,0.0
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),13.2,19.6
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),86.5,67.1
23,Any method (%),74.9,77.9
24,Any modern method (%),61.3,61.8
25,Female sterilization (%),36.0,38.7
26,Male sterilization (%),0.3,0.3
27,IUD/PPIUD (%),1.7,1.7
28,Pill (%),13.6,14.2
29,Condom (%),7.8,6.5
30,Injectables (%),0.5,0.3
32,Total unmet need(%),7.0,6.4
33,Unmet need for spacing (%),2.5,1.7
35,Health worker ever talked to female non-users about family planning (%),13.3,10.4
36,Current users ever told about side effects of current method (%),59.7,50.4
39,Mothers who had an antenatal check-up in the first trimester (%),76.0,52.3
40,Mothers who had at least 4 antenatal care visits (%),72.2,76.6
41,Mothers whose last birth was protected against neonatal tetanus (%),92.2,95.3
42,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),68.1,33.1
43,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),42.3,3.5
44,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),98.6,98.4
46,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),56.7,69.9
47,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"4,558","2,684"
48,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,*
50,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),76.7,na
52,Institutional births (%),97.0,91.3
53,Institutional births in public facility (%),67.9,61.3
54,Home births that were conducted by skilled health personnel (%),0.4,0.9
55,Births attended by skilled health personnel (%),97.4,91.7
56,Births delivered by caesarean section (%),49.7,39.8
57,Births in a private health facility that were delivered by caesarean section (%),84.9,76.6
58,Births in a public health facility that were delivered by caesarean section (%),36.8,27.5
61,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),(95.4),(88.4)
62,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(95.2),(100.0)
63,Children age 12-23 months who have received BCG (%),(100.0),(100.0)
64,Children age 12-23 months who have received 3 doses of polio vaccine (%),(100.0),(90.5)
65,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(95.4),(100.0)
66,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(97.9),(95.3)
67,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(43.4),na
68,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(2.2),na
69,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(93.3),(85.1)
70,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),75.0,78.3
71,Children age 12-23 months who received most of their vaccinations in a public health facility (%),(97.8),(98.5)
72,Children age 12-23 months who received most of their vaccinations in a private health facility (%),(2.2),(1.5)
74,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),11.2,7.4
75,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,*
76,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,*
77,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,*
78,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),0.8,2.8
80,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),62.8,*
82,Children under age 3 years breastfed within one hour of birth (%),69.5,37.5
83,Children under age 6 months exclusively breastfed (%),*,*
84,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,*
85,Breastfeeding children age 6-23 months receiving an adequate diet  (%),26.4,19.8
86,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*
87,Total children age 6-23 months receiving an adequate diet  (%),25.3,19.3
88,Children under 5 years who are stunted (height-for-age) (%),28.9,30.1
89,Children under 5 years who are wasted (weight-for-height) (%),20.0,18.5
90,Children under 5 years who are severely wasted (weight-for-height) (%),5.0,4.7
91,Children under 5 years who are underweight (weight-for-age) (%),33.4,28.7
92,Children under 5 years who are overweight (weight-for-height) (%),5.2,3.0
94,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),14.1,18.3
95,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),34.6,29.9
96,Women who have high risk waist-to-hip ratio (≥0.85) (%),71.9,na
98,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),67.9,53.3
99,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),75.1,64.2
100,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),*,*
101,All women age 15-49 years who are anaemic (%),75.1,63.2
102,All women age 15-19 years who are anaemic (%),75.1,68.0
105,Women - Blood sugar level - high (141-160 mg/dl)(%),8.8,na
106,Women - Blood sugar level - very high (>160 mg/dl)(%),9.5,na
107,Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),19.7,na
109,Men - Blood sugar level - high (141-160 mg/dl)(%),9.7,na
110,Men - Blood sugar level - very high (>160 mg/dl) (%),11.4,na
111,Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),22.3,na
114,Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),12.2,na
115,Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),5.4,na
117,Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),24.1,na
119,Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),17.7,na
