,Indicator,NFHS_5,NFHS_4
1,Female population age 6 years and above who ever attended school (%),81.8,78.6
2,Population below age 15 years (%),24.5,28.3
3,"Sex ratio of the total population (females per 1,000 males)","1,043",964
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",994,891
5,Children under age 5 years whose birth was registered with the civil authority (%),97.1,95.3
6,Deaths in the last 3 years registered with the civil authority (%),55.0,na
7,Population living in households with electricity (%),94.7,83.7
8,Population living in households with an improved drinking-water source (%),99.5,98.7
9,Population living in households that use an improved sanitation facility(%),68.1,54.2
10,Households using clean fuel for cooking (%),51.1,35.5
11,Households using iodized salt (%),99.4,99.7
12,Households with any usual member covered under a health insurance/financing scheme (%),52.5,10.0
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),7.0,na
15,Women who are literate (%),83.9,na
16,Women with 10 or more years of schooling (%),41.6,33.3
18,Women age 20-24 years married before age 18 years (%),28.1,25.2
19,Births in the 5 years preceding the survey that are third or higher order (%),0.4,1.5
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),8.6,8.2
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),74.0,51.0
23,Any method (%),53.3,63.2
24,Any modern method (%),38.7,44.5
25,Female sterilization (%),11.8,7.4
26,Male sterilization (%),0.0,0.0
27,IUD/PPIUD (%),2.6,2.0
28,Pill (%),21.4,32.2
29,Condom (%),2.9,2.8
30,Injectables (%),0.0,0.0
32,Total unmet need(%),13.2,7.0
33,Unmet need for spacing (%),4.8,1.8
35,Health worker ever talked to female non-users about family planning (%),18.8,8.3
36,Current users ever told about side effects of current method (%),60.6,32.2
38,Mothers who had an antenatal check-up in the first trimester (%),70.7,62.3
39,Mothers who had at least 4 antenatal care visits (%),55.9,49.2
40,Mothers whose last birth was protected against neonatal tetanus (%),92.8,94.6
41,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),38.6,33.8
42,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),16.7,2.1
43,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),96.9,99.3
45,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),73.8,50.5
46,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"6,478","4,653"
47,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,(0.0)
49,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),73.2,na
51,Institutional births (%),91.8,82.8
52,Institutional births in public facility (%),69.2,69.1
53,Home births that were conducted by skilled health personnel (%),0.4,2.2
54,Births attended by skilled health personnel (%),91.4,84.7
55,Births delivered by caesarean section (%),38.7,19.9
56,Births in a private health facility that were delivered by caesarean section (%),82.8,(65.6)
57,Births in a public health facility that were delivered by caesarean section (%),28.8,15.8
60,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),(65.5),48.8
61,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(79.8),(67.2)
62,Children age 12-23 months who have received BCG (%),(89.9),89.4
63,Children age 12-23 months who have received 3 doses of polio vaccine (%),(73.4),55.5
64,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(85.2),83.0
65,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(87.7),79.7
66,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(24.4),na
67,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(44.1),na
68,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(71.1),59.0
69,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),58.4,54.9
70,Children age 12-23 months who received most of their vaccinations in a public health facility (%),(97.6),96.5
71,Children age 12-23 months who received most of their vaccinations in a private health facility (%),(0.0),1.6
73,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),3.6,1.3
74,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,*
75,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,*
76,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,*
77,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),2.2,0.0
79,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),64.1,*
81,Children under age 3 years breastfed within one hour of birth (%),41.8,71.9
82,Children under age 6 months exclusively breastfed (%),*,(81.7)
83,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,*
