,Indicator,NFHS-5,NFHS-4
0,Female population age 6 years and above who ever attended school (%),77.3,72.6
1,Population below age 15 years (%),23.0,27.2
2,"Sex ratio of the total population (females per 1,000 males)",982,894
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,282",713
4,Children under age 5 years whose birth was registered with the civil authority (%),97.1,97.9
5,Deaths in the last 3 years registered with the civil authority (%),92.7,na
6,Population living in households with electricity (%),99.8,99.3
7,Population living in households with an improved drinking-water source (%),96.6,98.8
8,Population living in households that use an improved sanitation facility(%),91.7,87.7
9,Households using clean fuel for cooking (%),55.9,43.9
10,Households using iodized salt (%),96.3,93.1
11,Households with any usual member covered under a health insurance/financing scheme (%),27.0,13.4
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),(1.8),na
13,Women who are literate (%),88.2,na
14,Women with 10 or more years of schooling (%),62.7,53.2
15,Women age 20-24 years married before age 18 years (%),7.7,16.7
16,Births in the 5 years preceding the survey that are third or higher order (%),1.2,2.2
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),1.3,6.5
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),97.4,89.1
19,Any method (%),80.2,74.4
20,Any modern method (%),62.0,67.2
21,Female sterilization (%),33.8,50.2
22,Male sterilization (%),0.7,0.2
23,IUD/PPIUD (%),7.2,4.0
24,Pill (%),2.3,3.2
25,Condom (%),17.1,9.6
26,Injectables (%),0.1,0.0
27,Total unmet need(%),4.6,6.6
28,Unmet need for spacing (%),2.1,1.4
29,Health worker ever talked to female non-users about family planning (%),23.2,23.5
30,Current users ever told about side effects of current method (%),60.8,41.9
31,Mothers who had an antenatal check-up in the first trimester (%),87.3,68.6
32,Mothers who had at least 4 antenatal care visits (%),60.1,52.7
33,Mothers whose last birth was protected against neonatal tetanus (%),88.2,95.1
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),58.7,30.5
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),41.5,21.9
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),98.7,93.1
37,days of delivery (%),96.0,62.2
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"3,316","1,291"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,*
40,days of delivery (%),96.2,na
41,Institutional births (%),97.2,86.9
42,Institutional births in public facility (%),60.6,66.3
43,Home births that were conducted by skilled health personnel (%),0.3,3.8
44,Births attended by skilled health personnel (%),97.2,89.7
45,Births delivered by caesarean section (%),21.3,9.8
46,Births in a private health facility that were delivered by caesarean section (%),37.3,25.2
47,Births in a public health facility that were delivered by caesarean section (%),12.6,6.9
48,mother's recall (%),90.9,50.0
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),84.1,59.6
50,Children age 12-23 months who have received BCG (%),96.9,97.2
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),90.9,74.2
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),95.9,76.9
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),96.5,70.2
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),23.9,na
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),90.6,na
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),94.0,22.6
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),69.5,85.0
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),100.0,98.4
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),0.0,1.6
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),3.7,3.7
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,*
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,*
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,*
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),0.3,2.5
65,health provider (%),*,*
66,Children under age 3 years breastfed within one hour of birth (%),36.0,29.5
67,Children under age 6 months exclusively breastfed (%),*,(70.8)
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,*
69,Breastfeeding children age 6-23 months receiving an adequate diet (%),17.0,12.6
70,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*
71,Total children age 6-23 months receiving an adequate diet (%),15.4,12.5
72,Children under 5 years who are stunted (height-for-age) (%),15.6,22.3
73,Children under 5 years who are wasted (weight-for-height) (%),8.0,15.5
74,Children under 5 years who are severely wasted (weight-for-height) (%),3.5,5.5
75,Children under 5 years who are underweight (weight-for-age) (%),9.7,21.0
76,Children under 5 years who are overweight (weight-for-height) (%),6.3,2.0
77,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),10.1,12.4
78,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),43.5,21.6
79,Women who have high risk waist-to-hip ratio (≥0.85) (%),55.1,na
80,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),76.9,70.9
81,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),59.9,61.2
82,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(65.7),(59.8)
83,All women age 15-49 years who are anaemic (%),60.1,61.1
84,All women age 15-19 years who are anaemic (%),65.2,55.1
85,Blood sugar level - high (141-160 mg/dl)(%),5.1,na
86,Blood sugar level - very high (>160 mg/dl)(%),4.5,na
87,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),10.2,na
88,Blood sugar level - high (141-160 mg/dl)(%),5.3,na
89,Blood sugar level - very high (>160 mg/dl) (%),5.9,na
90,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),11.8,na
91,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),11.1,na
92,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),7.7,na
93,blood pressure (%),21.0,na
94,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),17.6,na
95,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),7.7,na
96,blood pressure (%),26.8,na
