,Indicator,NFHS-5
0,Female population age 6 years and above who ever attended school (%),55.9
1,Population below age 15 years (%),24.1
2,"Sex ratio of the total population (females per 1,000 males)","1,219"
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",955
4,Children under age 5 years whose birth was registered with the civil authority (%),92.5
5,Deaths in the last 3 years registered with the civil authority (%),70.1
6,Population living in households with electricity (%),99.3
7,Population living in households with an improved drinking-water source (%),97.3
8,Population living in households that use an improved sanitation facility(%),76.5
9,Households using clean fuel for cooking (%),94.7
10,Households using iodized salt (%),96.5
11,Households with any usual member covered under a health insurance/financing scheme (%),59.2
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),(6.2)
13,Women who are literate (%),62.4
14,Women with 10 or more years of schooling (%),43.5
15,Women age 20-24 years married before age 18 years (%),28.4
16,Births in the 5 years preceding the survey that are third or higher order (%),1.8
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),3.1
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),90.2
19,Any method (%),57.4
20,Any modern method (%),56.5
21,Female sterilization (%),47.7
22,Male sterilization (%),6.3
23,IUD/PPIUD (%),0.8
24,Pill (%),0.7
25,Condom (%),0.8
26,Injectables (%),0.0
27,Total unmet need(%),13.4
28,Unmet need for spacing (%),3.6
29,Health worker ever talked to female non-users about family planning (%),17.3
30,Current users ever told about side effects of current method (%),24.0
31,Mothers who had an antenatal check-up in the first trimester (%),94.6
32,Mothers who had at least 4 antenatal care visits (%),81.9
33,Mothers whose last birth was protected against neonatal tetanus (%),87.9
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),53.5
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),36.3
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),95.5
37,delivery (%),84.1
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"3,494"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*
40,delivery (%),89.9
41,Institutional births (%),94.4
42,Institutional births in public facility (%),39.8
43,Home births that were conducted by skilled health personnel (%),1.0
44,Births attended by skilled health personnel (%),91.9
45,Births delivered by caesarean section (%),68.1
46,Births in a private health facility that were delivered by caesarean section (%),77.4
47,Births in a public health facility that were delivered by caesarean section (%),64.9
48,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),(77.7)
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(94.0)
50,Children age 12-23 months who have received BCG (%),(95.7)
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),(77.7)
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(93.2)
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(93.2)
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(38.2)
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(9.0)
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(90.8)
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),72.5
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),(93.8)
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),(6.2)
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),4.1
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),0.4
65,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),(73.0)
66,Children under age 3 years breastfed within one hour of birth (%),27.5
67,Children under age 6 months exclusively breastfed (%),*
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
69,Breastfeeding children age 6-23 months receiving an adequate diet (%),14.7
70,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*
71,Total children age 6-23 months receiving an adequate diet (%),13.6
72,Children under 5 years who are stunted (height-for-age) (%),29.9
73,Children under 5 years who are wasted (weight-for-height) (%),17.5
74,Children under 5 years who are severely wasted (weight-for-height) (%),8.4
75,Children under 5 years who are underweight (weight-for-age) (%),32.3
76,Children under 5 years who are overweight (weight-for-height) (%),5.5
77,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),22.5
78,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),26.0
79,Women who have high risk waist-to-hip ratio (≥0.85) (%),43.2
80,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),59.9
81,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),56.4
82,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),*
83,All women age 15-49 years who are anaemic (%),56.3
84,All women age 15-19 years who are anaemic (%),66.2
85,Blood sugar level - high (141-160 mg/dl)(%),7.5
86,Blood sugar level - very high (>160 mg/dl)(%),6.1
87,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),15.5
88,Blood sugar level - high (141-160 mg/dl)(%),8.6
89,Blood sugar level - very high (>160 mg/dl) (%),8.4
90,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),19.5
91,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),11.9
92,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),5.8
93,pressure (%),25.5
94,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),16.4
95,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),8.4
96,pressure (%),31.3
97,Ever undergone a screening test for cervical cancer (%),6.7
98,Ever undergone a breast examination for breast cancer (%),1.0
99,Ever undergone an oral cavity examination for oral cancer (%),3.4
100,Women age 15 years and above who use any kind of tobacco (%),11.2
101,Men age 15 years and above who use any kind of tobacco (%),23.5
102,Women age 15 years and above who consume alcohol (%),2.6
103,Men age 15 years and above who consume alcohol (%),47.6
