,Indicator,NFHS_5
1,Female population age 6 years and above who ever attended school (%),70.3
2,Population below age 15 years (%),20.2
3,"Sex ratio of the total population (females per 1,000 males)","1,087"
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",829
5,Children under age 5 years whose birth was registered with the civil authority (%),82.4
6,Deaths in the last 3 years registered with the civil authority (%),77.7
7,Population living in households with electricity (%),99.6
8,Population living in households with an improved drinking-water source (%),99.1
9,Population living in households that use an improved sanitation facility(%),81.2
10,Households using clean fuel for cooking (%),94.6
11,Households using iodized salt (%),96.6
12,Households with any usual member covered under a health insurance/financing scheme (%),62.0
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),(11.6)
15,Women who are literate (%),76.9
16,Women with 10 or more years of schooling (%),57.2
18,Women age 20-24 years married before age 18 years (%),22.7
19,Births in the 5 years preceding the survey that are third or higher order (%),1.3
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),4.3
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),96.4
23,Any method (%),67.7
24,Any modern method (%),64.4
25,Female sterilization (%),50.1
26,Male sterilization (%),11.2
27,IUD/PPIUD (%),0.4
28,Pill (%),0.7
29,Condom (%),1.2
30,Injectables (%),0.0
32,Total unmet need(%),8.9
33,Unmet need for spacing (%),3.2
35,Health worker ever talked to female non-users about family planning (%),27.8
36,Current users ever told about side effects of current method (%),49.4
38,Mothers who had an antenatal check-up in the first trimester (%),88.4
39,Mothers who had at least 4 antenatal care visits (%),71.3
40,Mothers whose last birth was protected against neonatal tetanus (%),96.2
41,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),63.7
42,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),38.9
43,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),96.4
45,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),92.6
46,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"2,825"
47,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*
49,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),92.3
51,Institutional births (%),99.7
52,Institutional births in public facility (%),41.9
53,Home births that were conducted by skilled health personnel (%),0.0
54,Births attended by skilled health personnel (%),93.0
55,Births delivered by caesarean section (%),69.3
56,Births in a private health facility that were delivered by caesarean section (%),87.9
57,Births in a public health facility that were delivered by caesarean section (%),44.2
59,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),(70.1)
60,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(86.8)
61,Children age 12-23 months who have received BCG (%),(89.2)
62,Children age 12-23 months who have received 3 doses of polio vaccine (%),(72.7)
63,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(83.3)
64,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(91.8)
65,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(54.9)
66,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(1.6)
67,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(80.0)
68,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),78.5
69,Children age 12-23 months who received most of their vaccinations in a public health facility (%),(91.4)
70,Children age 12-23 months who received most of their vaccinations in a private health facility (%),(8.6)
