,District,Agency,Households,Women,Men
0,Agra,Research and Development Initiative (RDI) Pvt. Ltd,944,1226,159
1,Aligarh,Research and Development Initiative (RDI) Pvt. Ltd,883,1073,145
2,Ambedkar Nagar,Academy of Management Studies (AMS),908,1259,130
3,Amethi,Academy of Management Studies (AMS),906,1255,124
4,Auraiya,Academy of Management Studies (AMS),977,1309,166
5,Azamgarh,Academy of Management Studies (AMS),902,1354,146
6,Baghpat,Research and Development Initiative (RDI) Pvt. Ltd,930,1304,203
7,Bahraich,Academy of Management Studies (AMS),956,1128,129
8,Ballia,Academy of Management Studies (AMS),959,1254,144
9,Balrampur,Academy of Management Studies (AMS),979,1235,141
10,Banda,Academy of Management Studies (AMS),977,1189,203
11,Barabanki,Academy of Management Studies (AMS),967,1186,184
12,Bareilly,Research and Development Initiative (RDI) Pvt. Ltd,874,1088,99
13,Basti,Academy of Management Studies (AMS),979,1362,147
14,Bijnor,Research and Development Initiative (RDI) Pvt. Ltd,949,1348,178
15,Budaun,Research and Development Initiative (RDI) Pvt. Ltd,944,1134,166
16,Bulandshahr,Research and Development Initiative (RDI) Pvt. Ltd,924,1105,140
17,Chandauli,Academy of Management Studies (AMS),950,1272,141
18,Chitrakoot,Academy of Management Studies (AMS),985,1176,173
19,Deoria,Academy of Management Studies (AMS),949,1317,157
20,Etah,Development Initiative (RDI) Pvt. Ltd,953,1267,179
21,Etawah,Research and Development Initiative (RDI) Pvt. Ltd,978,1225,183
22,Faizabad,Academy of Management Studies (AMS),914,1213,137
23,Farrukhabad,Research and Development Initiative (RDI) Pvt. Ltd,969,1276,175
24,Fatehpur,Academy of Management Studies (AMS),989,1206,175
25,Firozabad,Research and Development Initiative (RDI) Pvt. Ltd,951,1178,181
26,Gautam Buddha Nagar,Research and Development Initiative (RDI) Pvt. Ltd,713,863,95
27,Ghaziabad,Research and Development Initiative (RDI) Pvt. Ltd,716,805,76
28,Ghazipur,Academy of Management Studies (AMS),966,1363,203
29,Gonda,Academy of Management Studies (AMS),972,1292,152
30,Gorakhpur,Academy of Management Studies (AMS),958,1360,135
31,Hamirpur,Academy of Management Studies (AMS),980,1389,206
32,Hapur,Research and Development Initiative (RDI) Pvt. Ltd,976,1357,222
33,Hardoi,Academy of Management Studies (AMS),983,1206,188
34,Jalaun,Academy of Management Studies (AMS),978,1373,198
35,Jaunpur,Academy of Management Studies (AMS),977,1561,176
36,Jhansi,Academy of Management Studies (AMS),984,1326,229
37,Jyotiba Phule Nagar,Research and Development Initiative (RDI) Pvt. Ltd,973,1411,165
38,Kannauj,Academy of Management Studies (AMS),989,1317,198
39,Kanpur Dehat,Academy of Management Studies (AMS),979,1213,144
40,Kanpur Nagar,Academy of Management Studies (AMS),980,1150,177
41,Kanshiram Nagar,Research and Development Initiative (RDI) Pvt. Ltd,950,1143,163
42,Kaushambi,Academy of Management Studies (AMS),914,1100,140
43,Kheri,Academy of Management Studies (AMS),971,1280,169
44,Kushinagar,Academy of Management Studies (AMS),946,1312,138
45,Lalitpur,Academy of Management Studies (AMS),982,1484,230
46,Lucknow,Academy of Management Studies (AMS),832,958,117
47,Mahamaya Nagar,Research and Development Initiative (RDI) Pvt. Ltd,946,1234,146
48,Maharajganj,Academy of Management Studies (AMS),946,1316,120
49,Mahoba,Academy of Management Studies (AMS),978,1347,226
50,Mainpuri,Research and Development Initiative (RDI) Pvt. Ltd,976,1258,168
51,Mathura,Research and Development Initiative (RDI) Pvt. Ltd,935,1175,162
52,Mau,Academy of Management Studies (AMS),960,1310,189
53,Meerut,Research and Development Initiative (RDI) Pvt. Ltd,918,1212,169
54,Mirzapur,Academy of Management Studies (AMS),942,1176,147
55,Moradabad,Research and Development Initiative (RDI) Pvt. Ltd,953,1264,160
56,Muzaffarnagar,Research and Development Initiative (RDI) Pvt. Ltd,932,1201,179
57,Pilibhit,Research and Development Initiative (RDI) Pvt. Ltd,898,1040,142
58,Pratapgarh,Academy of Management Studies (AMS),916,1267,96
59,Prayagraj,Academy of Management Studies (AMS),856,1124,123
60,Rae Bareli,Academy of Management Studies (AMS),985,1258,148
61,Rampur,Research and Development Initiative (RDI) Pvt. Ltd,876,1092,145
62,Saharanpur,Research and Development Initiative (RDI) Pvt. Ltd,966,1318,183
63,Sambhal,,963,1314,199
64,Sant Kabeer Nagar,Academy of Management Studies (AMS),958,1266,120
65,Sant Ravidas Nagar (Bhadohi),Academy of Management Studies (AMS),884,1352,118
66,Shahjahanpur,Research and Development Initiative (RDI) Pvt. Ltd,980,1286,220
67,Shamli,Research and Development Initiative (RDI) Pvt. Ltd,950,1300,180
68,Shravasti,Academy of Management Studies (AMS),974,1233,154
69,Siddharthnagar,Academy of Management Studies (AMS),949,1396,127
70,Sitapur,Academy of Management Studies (AMS),960,1212,148
71,Sonbhadra,Academy of Management Studies (AMS),952,1158,168
72,Sultanpur,Academy of Management Studies (AMS),922,1282,133
73,Unnao,Academy of Management Studies (AMS),984,1128,152
74,Varanasi,Academy of Management Studies (AMS),936,1403,195
