,Indicator,NFHS-5 Urban,NFHS-5 Rural,NFHS-5 Total,NFHS-4 Total
0,Female population age 6 years and above who ever attended school (%),90.2,87.2,89.0,85.0
1,Population below age 15 years (%),19.8,18.1,19.1,23.2
2,"Sex ratio of the total population (females per 1,000 males)",985,"1,092","1,027","1,018"
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",822,864,838,966
4,Children under age 5 years whose birth was registered with the civil authority (%),100.0,100.0,100.0,98.9
5,Deaths in the last 3 years registered with the civil authority (%),100.0,100.0,100.0,na
6,Population living in households with electricity (%),100.0,100.0,100.0,99.8
7,Population living in households with an improved drinking-water source (%),99.0,97.8,98.5,96.7
8,Population living in households that use an improved sanitation facility(%),89.0,86.4,87.9,78.7
9,Households using clean fuel for cooking (%),98.8,93.1,96.5,84.1
10,Households using iodized salt (%),97.7,97.4,97.6,95.7
11,Households with any usual member covered under a health insurance/financing scheme (%),65.1,67.5,66.0,15.9
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),19.5,(18.2),19.0,na
13,Women who are literate (%),92.6,93.4,93.0,na
14,Men who are literate (%),94.9,98.5,96.3,na
15,Women with 10 or more years of schooling (%),73.0,69.3,71.5,58.2
16,Men with 10 or more years of schooling (%),75.0,79.4,76.6,63.6
17,Women who have ever used the internet (%),78.1,68.3,73.7,na
18,Men who have ever used the internet (%),86.1,76.6,82.9,na
19,Women age 20-24 years married before age 18 years (%),7.7,3.2,5.8,9.8
20,Men age 25-29 years married before age 21 years (%),(12.1),*,(8.9),8.4
21,Total fertility rate (children per woman),1.3,1.4,1.3,1.7
22,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),2.8,2.7,2.8,2.9
23,Adolescent fertility rate for women age 15-19 years,17,11,14,16
24,Neonatal mortality rate (NNMR),*,*,(5.6),(12.9)
25,Infant mortality rate (IMR),*,*,(5.6),(12.9)
26,Under-five mortality rate (U5MR),*,*,(10.6),(12.9)
27,Any method (%),72.3,61.1,67.9,26.3
28,Any modern method (%),65.0,52.4,60.1,24.8
29,Female sterilization (%),33.2,24.9,29.9,16.3
30,Male sterilization (%),0.0,0.0,0.0,0.0
31,IUD/PPIUD (%),2.5,2.2,2.4,0.9
32,Pill (%),3.4,1.7,2.7,0.3
33,Condom (%),24.6,21.1,23.2,7.1
34,Injectables (%),0.0,0.0,0.0,0.1
35,Total unmet need(%),7.3,10.1,8.4,17.5
36,Unmet need for spacing (%),3.5,4.7,4.0,8.3
37,Health worker ever talked to female non-users about family planning (%),27.2,28.4,27.7,44.2
38,Current users ever told about side effects of current method (%),86.4,(83.1),85.5,(76.0)
39,Mothers who had an antenatal check-up in the first trimester (%),66.5,76.2,70.3,84.4
40,Mothers who had at least 4 antenatal care visits (%),92.9,93.1,93.0,89.0
41,Mothers whose last birth was protected against neonatal tetanus (%),98.0,94.2,96.5,96.2
42,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),87.0,88.2,87.5,67.4
43,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),61.4,70.5,65.0,52.8
44,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),99.7,100.0,99.8,96.3
45,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),96.5,93.7,95.4,92.1
46,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"3,875","3,706","3,804","5,012"
47,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,*,*,*
48,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),97.4,95.7,96.7,na
49,Institutional births (%),99.6,100.0,99.7,96.9
50,Institutional births in public facility (%),53.1,61.1,56.2,58.2
51,Home births that were conducted by skilled health personnel (%),0.0,0.0,0.0,1.8
52,Births attended by skilled health personnel (%),98.6,100.0,99.1,97.5
53,Births delivered by caesarean section (%),39.1,40.1,39.5,31.4
54,Births in a private health facility that were delivered by caesarean section (%),46.6,56.6,50.0,51.3
55,Births in a public health facility that were delivered by caesarean section (%),32.9,29.6,31.5,19.9
56,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),(77.9),(88.1),81.9,88.4
57,Children age 12-23 months fully vaccinated based on information from vaccination card  only (%),(87.7),*,91.0,95.8
58,Children age 12-23 months who have received BCG (%),(96.5),(100.0),97.9,100.0
59,Children age 12-23 months who have received 3 doses of polio vaccine (%),(83.8),(95.1),88.4,92.9
60,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(89.3),(92.9),90.8,94.2
61,Children age 12-23 months who have received the first dose of measles-containing  vaccine (MCV) (%),(92.9),(92.9),92.9,96.5
62,Children age 24-35 months who have received a second dose of measles-containing  vaccine (MCV) (%),(23.2),(19.5),21.7,na
63,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(2.3),(12.3),6.3,na
64,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(95.2),(89.2),92.8,85.2
65,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),94.4,88.1,91.9,91.8
66,Children age 12-23 months who received most of their vaccinations in a public health  facility (%),(90.8),(95.6),92.7,77.2
67,Children age 12-23 months who received most of their vaccinations in a private health  facility (%),(9.2),(4.5),7.3,22.8
68,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),2.1,5.0,3.2,3.8
69,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,*,*,*
70,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,*,*,*
71,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,*,*,*
72,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),0.0,2.4,0.9,1.4
73,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),(82.2),*,86.6,89.0
74,Children under age 3 years breastfed within one hour of birth (%),60.7,62.9,61.6,73.3
75,Children under age 6 months exclusively breastfed (%),*,*,(61.4),(60.9)
76,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,*,*,*
77,Breastfeeding children age 6-23 months receiving an adequate diet  (%),18.9,(21.8),20.2,9.1
78,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*,*,(15.1)
79,Total children age 6-23 months receiving an adequate diet  (%),21.1,(22.2),21.5,10.4
80,Children under 5 years who are stunted (height-for-age) (%),24.3,28.2,25.8,20.1
81,Children under 5 years who are wasted (weight-for-height) (%),17.7,21.5,19.1,21.9
82,Children under 5 years who are severely wasted (weight-for-height) (%),6.4,9.4,7.5,9.5
83,Children under 5 years who are underweight (weight-for-age) (%),22.5,26.6,24.0,23.8
84,Children under 5 years who are overweight (weight-for-height) (%),2.2,3.6,2.8,3.7
85,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),13.1,15.0,13.8,14.7
86,Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),9.3,18.4,12.5,10.8
87,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),38.1,33.1,36.1,33.5
88,Men who are overweight or obese (BMI ≥25.0 kg/m) (%),32.5,32.8,32.6,32.6
89,Women who have high risk waist-to-hip ratio (≥0.85) (%),51.1,51.0,51.1,na
90,Men who have high risk waist-to-hip ratio (≥0.90) (%),34.2,37.8,35.4,na
91,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),53.3,53.1,53.2,48.3
92,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),39.9,37.5,38.9,31.4
93,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(46.1),*,(41.0),(26.7)
94,All women age 15-49 years who are anaemic (%),40.0,37.4,39.0,31.3
95,All women age 15-19 years who are anaemic (%),43.5,45.7,44.5,30.5
96,Men age 15-49 years who are anaemic (<13.0 g/dl)%),13.3,9.5,12.0,11.0
97,Men age 15-19 years who are anaemic (<13.0 g/dl)(%),(11.9),*,(15.8),6.6
98,Blood sugar level - high (141-160 mg/dl)(%),8.2,9.1,8.6,na
99,Blood sugar level - very high (>160 mg/dl)(%),9.7,9.5,9.6,na
100,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood  sugar level (%),20.6,21.1,20.8,na
101,Blood sugar level - high (141-160 mg/dl)(%),10.3,10.3,10.3,na
102,Blood sugar level - very high (>160 mg/dl) (%),10.8,12.9,11.6,na
103,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood  sugar level (%),23.0,25.9,24.1,na
104,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or  Diastolic 90-99 mm of Hg) (%),12.6,11.5,12.1,na
